縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,男性人口數,女性人口數,資料時間
65000,新北市,65000010,板橋區,205379,555138,271775,283363,104Y06M
65000,新北市,65000020,三重區,147882,388502,191909,196593,104Y06M
65000,新北市,65000030,中和區,162672,414528,202544,211984,104Y06M
65000,新北市,65000040,永和區,90744,226715,107868,118847,104Y06M
65000,新北市,65000050,新莊區,148136,412363,202115,210248,104Y06M
65000,新北市,65000060,新店區,123333,299656,144912,154744,104Y06M
65000,新北市,65000070,樹林區,65236,184028,91986,92042,104Y06M
65000,新北市,65000080,鶯歌區,29345,88396,44346,44050,104Y06M
65000,新北市,65000090,三峽區,40758,112059,56450,55609,104Y06M
65000,新北市,65000100,淡水區,69261,160444,77281,83163,104Y06M
65000,新北市,65000110,汐止區,84587,195374,95679,99695,104Y06M
65000,新北市,65000120,瑞芳區,16068,41024,20754,20270,104Y06M
65000,新北市,65000130,土城區,85742,238790,118247,120543,104Y06M
65000,新北市,65000140,蘆洲區,69212,199739,98367,101372,104Y06M
65000,新北市,65000150,五股區,29610,82437,41626,40811,104Y06M
65000,新北市,65000160,泰山區,27835,78484,39073,39411,104Y06M
65000,新北市,65000170,林口區,38529,98978,48448,50530,104Y06M
65000,新北市,65000180,深坑區,9382,23561,11816,11745,104Y06M
65000,新北市,65000190,石碇區,3364,7824,4318,3506,104Y06M
65000,新北市,65000200,坪林區,2495,6483,3619,2864,104Y06M
65000,新北市,65000210,三芝區,9315,23469,12081,11388,104Y06M
65000,新北市,65000220,石門區,4306,12652,6577,6075,104Y06M
65000,新北市,65000230,八里區,13884,37288,18652,18636,104Y06M
65000,新北市,65000240,平溪區,2350,4900,2702,2198,104Y06M
65000,新北市,65000250,雙溪區,3829,9319,5030,4289,104Y06M
65000,新北市,65000260,貢寮區,4402,12913,6593,6320,104Y06M
65000,新北市,65000270,金山區,7003,22260,11044,11216,104Y06M
65000,新北市,65000280,萬里區,7387,22600,11388,11212,104Y06M
65000,新北市,65000290,烏來區,1798,6128,3054,3074,104Y06M
63000,臺北市,63000010,松山區,80345,210648,99392,111256,104Y06M
63000,臺北市,63000020,信義區,89407,229605,110093,119512,104Y06M
63000,臺北市,63000030,大安區,120572,314361,147126,167235,104Y06M
63000,臺北市,63000040,中山區,98754,230990,107809,123181,104Y06M
63000,臺北市,63000050,中正區,65382,163447,78079,85368,104Y06M
63000,臺北市,63000060,大同區,51432,130991,64053,66938,104Y06M
63000,臺北市,63000070,萬華區,78159,194278,95952,98326,104Y06M
63000,臺北市,63000080,文山區,103885,274903,132324,142579,104Y06M
63000,臺北市,63000090,南港區,46136,121640,59403,62237,104Y06M
63000,臺北市,63000100,內湖區,105967,286696,137324,149372,104Y06M
63000,臺北市,63000110,士林區,105901,290688,140646,150042,104Y06M
63000,臺北市,63000120,北投區,95439,257783,124438,133345,104Y06M
68000,桃園市,68000010,桃園區,158259,423658,206658,217000,104Y06M
68000,桃園市,68000020,中壢區,140059,386679,191544,195135,104Y06M
68000,桃園市,68000030,大溪區,31123,92845,47674,45171,104Y06M
68000,桃園市,68000040,楊梅區,54374,159382,80768,78614,104Y06M
68000,桃園市,68000050,蘆竹區,54695,153583,76598,76985,104Y06M
68000,桃園市,68000060,大園區,30249,85105,43769,41336,104Y06M
68000,桃園市,68000070,龜山區,55079,143859,72248,71611,104Y06M
68000,桃園市,68000080,八德區,64651,184493,93026,91467,104Y06M
68000,桃園市,68000090,龍潭區,39678,117491,59254,58237,104Y06M
68000,桃園市,68000100,平鎮區,73209,215617,107671,107946,104Y06M
68000,桃園市,68000110,新屋區,15658,48296,25842,22454,104Y06M
68000,桃園市,68000120,觀音區,21284,64127,33551,30576,104Y06M
68000,桃園市,68000130,復興區,3728,10946,5990,4956,104Y06M
66000,臺中市,66000010,中區,7820,19231,9594,9637,104Y06M
66000,臺中市,66000020,東區,27225,75044,37513,37531,104Y06M
66000,臺中市,66000030,南區,46398,120919,58272,62647,104Y06M
66000,臺中市,66000040,西區,44992,115824,55153,60671,104Y06M
66000,臺中市,66000050,北區,58338,147446,70858,76588,104Y06M
66000,臺中市,66000060,西屯區,81490,220270,106106,114164,104Y06M
66000,臺中市,66000070,南屯區,59145,163250,78325,84925,104Y06M
66000,臺中市,66000080,北屯區,93394,262204,126314,135890,104Y06M
66000,臺中市,66000090,豐原區,52462,166665,82573,84092,104Y06M
66000,臺中市,66000100,東勢區,17269,51313,26517,24796,104Y06M
66000,臺中市,66000110,大甲區,22590,77640,39201,38439,104Y06M
66000,臺中市,66000120,清水區,26236,85971,44227,41744,104Y06M
66000,臺中市,66000130,沙鹿區,27501,88715,44993,43722,104Y06M
66000,臺中市,66000140,梧棲區,17015,56906,28668,28238,104Y06M
66000,臺中市,66000150,后里區,15591,54186,27591,26595,104Y06M
66000,臺中市,66000160,神岡區,18800,64995,33277,31718,104Y06M
66000,臺中市,66000170,潭子區,35114,105819,52486,53333,104Y06M
66000,臺中市,66000180,大雅區,28181,93226,46639,46587,104Y06M
66000,臺中市,66000190,新社區,7484,25153,13084,12069,104Y06M
66000,臺中市,66000200,石岡區,4900,15309,7953,7356,104Y06M
66000,臺中市,66000210,外埔區,9330,31746,16328,15418,104Y06M
66000,臺中市,66000220,大安區,5385,19572,10336,9236,104Y06M
66000,臺中市,66000230,烏日區,22907,72018,36305,35713,104Y06M
66000,臺中市,66000240,大肚區,16795,56428,28917,27511,104Y06M
66000,臺中市,66000250,龍井區,22170,76245,38639,37606,104Y06M
66000,臺中市,66000260,霧峰區,19655,64563,32937,31626,104Y06M
66000,臺中市,66000270,太平區,60463,182783,90996,91787,104Y06M
66000,臺中市,66000280,大里區,67126,207339,102235,105104,104Y06M
66000,臺中市,66000290,和平區,4419,10720,5756,4964,104Y06M
67000,臺南市,67000010,新營區,28506,78216,38751,39465,104Y06M
67000,臺南市,67000020,鹽水區,10084,26221,13688,12533,104Y06M
67000,臺南市,67000030,白河區,10956,29500,15434,14066,104Y06M
67000,臺南市,67000040,柳營區,7833,21691,11298,10393,104Y06M
67000,臺南市,67000050,後壁區,8898,24448,12732,11716,104Y06M
67000,臺南市,67000060,東山區,8265,21731,11541,10190,104Y06M
67000,臺南市,67000070,麻豆區,15501,45020,22890,22130,104Y06M
67000,臺南市,67000080,下營區,9093,24948,12862,12086,104Y06M
67000,臺南市,67000090,六甲區,7711,22687,11737,10950,104Y06M
67000,臺南市,67000100,官田區,7780,21593,11028,10565,104Y06M
67000,臺南市,67000110,大內區,3945,10153,5433,4720,104Y06M
67000,臺南市,67000120,佳里區,20319,59618,29585,30033,104Y06M
67000,臺南市,67000130,學甲區,9669,26733,13682,13051,104Y06M
67000,臺南市,67000140,西港區,8078,24879,12594,12285,104Y06M
67000,臺南市,67000150,七股區,8099,23518,12209,11309,104Y06M
67000,臺南市,67000160,將軍區,7317,20412,10386,10026,104Y06M
67000,臺南市,67000170,北門區,4343,11580,5842,5738,104Y06M
67000,臺南市,67000180,新化區,14221,43755,22334,21421,104Y06M
67000,臺南市,67000190,善化區,16536,46577,23527,23050,104Y06M
67000,臺南市,67000200,新市區,11643,35682,17911,17771,104Y06M
67000,臺南市,67000210,安定區,9828,30276,15540,14736,104Y06M
67000,臺南市,67000220,山上區,2691,7489,3918,3571,104Y06M
67000,臺南市,67000230,玉井區,5119,14455,7517,6938,104Y06M
67000,臺南市,67000240,楠西區,3539,10086,5344,4742,104Y06M
67000,臺南市,67000250,南化區,2865,8948,4835,4113,104Y06M
67000,臺南市,67000260,左鎮區,1992,5105,2860,2245,104Y06M
67000,臺南市,67000270,仁德區,26697,73374,37356,36018,104Y06M
67000,臺南市,67000280,歸仁區,22064,67686,34398,33288,104Y06M
67000,臺南市,67000290,關廟區,10906,34783,17965,16818,104Y06M
67000,臺南市,67000300,龍崎區,1573,4246,2302,1944,104Y06M
67000,臺南市,67000310,永康區,81495,229999,113645,116354,104Y06M
67000,臺南市,67000320,東區,71882,189708,91240,98468,104Y06M
67000,臺南市,67000330,南區,44844,125824,62560,63264,104Y06M
